"abnormal" "normal"
"inclement" "clement"
"incognizable" "cognizable"
"incognizant" "cognizant"
"incoherence" "coherence"
"incoherency" "coherency"
"incoherent" "coherent"
"incoherently" "coherently"
"incombustible" "combustible"
"incommensurable" "commensurable"
"incommensurate" "commensurate"
"incommodious" "commodious"
"incommodiousness" "commodiousness"
"incommunicative" "communicative"
"incommutability" "commutability"
"incommutable" "commutable"
"incomparable" "comparable"
"incomparably" "comparably"
"incompatibility" "compatibility"
"incompatible" "compatible"
"incompatibly" "compatibly"
"incompetence" "competence"
"incompetency" "competency"
"incompetent" "competent"
"incompetently" "competently"
"incomplete" "complete"
"incompletely" "completely"
"incompleteness" "completeness"
"incomprehensibility" "comprehensibility"
"incomprehensible" "comprehensible"
"incomprehension" "comprehension"
"incomprehensive" "comprehensive"
"incompressible" "compressible"
"incomputable" "computable"
"inconceivability" "conceivability"
"inconceivable" "conceivable"
"inconceivableness" "conceivableness"
"inconclusive" "conclusive"
"inconclusively" "conclusively"
"inconclusiveness" "conclusiveness"
"incongruent" "congruent"
"incongruity" "congruity"
"incongruous" "congruous"
"incongruousness" "congruousness"
"inconsequence" "consequence"
"inconsequent" "consequent"
"inconsequential" "consequential"
"inconsequentially" "consequentially"
"inconsequently" "consequently"
"inconsiderable" "considerable"
"inconsiderate" "considerate"
"inconsiderately" "considerately"
"inconsiderateness" "considerateness"
"inconsideration" "consideration"
"inconsistency" "consistency"
"inconsistent" "consistent"
"inconsistently" "consistently"
"inconsolable" "consolable"
"inconspicuous" "conspicuous"
"inconspicuously" "conspicuously"
"inconspicuousness" "conspicuousness"
"inconstant" "constant"
"incontestable" "contestable"
"incontinence" "continence"
"incontinent" "continent"
"inconvenient" "convenient"
"inconveniently" "conveniently"
"inconvertibility" "convertibility"
"inconvertible" "convertible"
"incorporation" "corporation"
"incorporeal" "corporeal"
"incorporeality" "corporeality"
"incorrect" "correct"
"incorrectly" "correctly"
"incorrectness" "correctness"
"incorrigible" "corrigible"
"incorrupt" "corrupt"
"incorruptibility" "corruptibility"
"incorruptible" "corruptible"
"incorruption" "corruption"
"incorruptness" "corruptness"
"incredibility" "credibility"
"incredible" "credible"
"incredibleness" "credibleness"
"incredibly" "credibly"
"incredulity" "credulity"
"incredulous" "credulous"
"incredulously" "credulously"
"incriminatory" "criminatory"
"inculpability" "culpability"
"inculpable" "culpable"
"inculpableness" "culpableness"
"incurability" "curability"
"incurable" "curable"
"incurableness" "curableness"
"incurious" "curious"
"incursive" "cursive"
"indecency" "decency"
"indecent" "decent"
"indecently" "decently"
"indecipherable" "decipherable"
"indecision" "decision"
"indecisive" "decisive"
"indecisively" "decisively"
"indecisiveness" "decisiveness"
"indecorous" "decorous"
"indecorously" "decorously"
"indecorousness" "decorousness"
"indecorum" "decorum"
"indefeasible" "defeasible"
"indefensible" "defensible"
"indefinable" "definable"
"indefinite" "definite"
"indefinitely" "definitely"
"indefiniteness" "definiteness"
"indehiscent" "dehiscent"
"indelible" "delible"
"indelicacy" "delicacy"
"indelicate" "delicate"
"independence" "dependence"
"independency" "dependency"
"independent" "dependent"
"indescribable" "describable"
"indestructibility" "destructibility"
"indestructible" "destructible"
"indeterminable" "determinable"
"indeterminate" "determinate"
"indeterminateness" "determinateness"
"indetermination" "determination"
"indigestibility" "digestibility"
"indigestible" "digestible"
"indigestibleness" "digestibleness"
"indigestion" "digestion"
"indignity" "dignity"
"indirect" "direct"
"indirectly" "directly"
"indirectness" "directness"
"indiscernible" "discernible"
"indiscipline" "discipline"
"indiscreet" "discreet"
"indiscreetly" "discreetly"
"indiscreetness" "discreetness"
"indiscrete" "discrete"
"indiscretion" "discretion"
"indisputable" "disputable"
"indissoluble" "dissoluble"
"indistinct" "distinct"
"indistinctly" "distinctly"
"indistinctness" "distinctness"
"indistinguishable" "distinguishable"
"indivisible" "divisible"
"indocile" "docile"
"inedible" "edible"
"ineffective" "effective"
"ineffectively" "effectively"
"ineffectiveness" "effectiveness"
"ineffectual" "effectual"
"ineffectuality" "effectuality"
"ineffectually" "effectually"
"ineffectualness" "effectualness"
"inefficacious" "efficacious"
"inefficaciously" "efficaciously"
"inefficaciousness" "efficaciousness"
"inefficacy" "efficacy"
"inefficiency" "efficiency"
"inefficient" "efficient"
"inefficiently" "efficiently"
"inelaborate" "elaborate"
"inelastic" "elastic"
"inelasticity" "elasticity"
"inelegance" "elegance"
"inelegant" "elegant"
"inelegantly" "elegantly"
"ineligibility" "eligibility"
"ineligible" "eligible"
"ineloquently" "eloquently"
"inequality" "equality"
"inequitable" "equitable"
"inequitably" "equitably"
"inequity" "equity"
"ineradicable" "eradicable"
"inerrant" "errant"
"inessential" "essential"
"inessentiality" "essentiality"
"inestimable" "estimable"
"inevitable" "evitable"
"inexact" "exact"
"inexactitude" "exactitude"
"inexactly" "exactly"
"inexactness" "exactness"
"inexcusable" "excusable"
"inexcusably" "excusably"
"inexhaustible" "exhaustible"
"inexpedience" "expedience"
"inexpediency" "expediency"
"inexpedient" "expedient"
"inexpediently" "expediently"
"inexpensive" "expensive"
"inexpensively" "expensively"
"inexpensiveness" "expensiveness"
"inexperience" "experience"
"inexperienced" "experienced"
"inexpert" "expert"
"inexpertly" "expertly"
"inexpiable" "expiable"
"inexplicable" "explicable"
"inexplicit" "explicit"
"inexplicitness" "explicitness"
"inexpressible" "expressible"
"inexpressively" "expressively"
"inexpugnable" "expugnable"
"inexterminable" "exterminable"
"inextinguishable" "extinguishable"
"inextirpable" "extirpable"
"inextricable" "extricable"
"infallibility" "fallibility"
"infallible" "fallible"
"infeasibility" "feasibility"
"infeasible" "feasible"
"infelicitous" "felicitous"
"infelicitously" "felicitously"
"infertile" "fertile"
"infertility" "fertility"
"infinite" "finite"
"infinitely" "finitely"
"infiniteness" "finiteness"
"infinitude" "finitude"
"inflexibility" "flexibility"
"inflexible" "flexible"
"inflexibleness" "flexibleness"
"inflexibly" "flexibly"
"informal" "formal"
"informality" "formality"
"informally" "formally"
"infrangible" "frangible"
"infrequency" "frequency"
"infrequent" "frequent"
"infrequently" "frequently"
"inglorious" "glorious"
"ingloriously" "gloriously"
"ingratitude" "gratitude"
"inhabitable" "habitable"
"inhabitation" "habitation"
"inharmonic" "harmonic"
"inharmonious" "harmonious"
"inharmoniousness" "harmoniousness"
"inhomogeneous" "homogeneous"
"inhospitable" "hospitable"
"inhospitableness" "hospitableness"
"inhospitably" "hospitably"
"inhuman" "human"
"inhumane" "humane"
"inhumanely" "humanely"
"inhumaneness" "humaneness"
"inhumanity" "humanity"
"injudicious" "judicious"
"injudiciously" "judiciously"
"injudiciousness" "judiciousness"
"injustice" "justice"
"innoxious" "noxious"
"innumerable" "numerable"
"innumerate" "numerate"
"innumerous" "numerous"
"inodorous" "odorous"
"inoffensive" "offensive"
"inoffensively" "offensively"
"inoperable" "operable"
"inoperative" "operative"
"inopportune" "opportune"
"inopportunely" "opportunely"
"inopportuneness" "opportuneness"
"inorganic" "organic"
"inorganically" "organically"
"inosculation" "osculation"
"inpenetrable" "penetrable"
"inquietude" "quietude"
"insalubrious" "salubrious"
"insalubriousness" "salubriousness"
"insalubrity" "salubrity"
"insane" "sane"
"insanely" "sanely"
"insaneness" "saneness"
"insanitary" "sanitary"
"insatiable" "satiable"
"insatiate" "satiate"
"insecure" "secure"
"insecurely" "securely"
"insecureness" "secureness"
"insecurity" "security"
"insensate" "sensate"
"insensibility" "sensibility"
"insensible" "sensible"
"insensibly" "sensibly"
"insensitive" "sensitive"
"insensitively" "sensitively"
"insensitiveness" "sensitiveness"
"insensitivity" "sensitivity"
"insentience" "sentience"
"insentient" "sentient"
"inseparable" "separable"
"inseparably" "separably"
"insignificance" "significance"
"insignificant" "significant"
"insignificantly" "significantly"
"insincere" "sincere"
"insincerely" "sincerely"
"insincerity" "sincerity"
"insoluble" "soluble"
"insolvable" "solvable"
"insolvency" "solvency"
"insolvent" "solvent"
"instability" "stability"
"insubordination" "subordination"
"insubstantial" "substantial"
"insubstantiality" "substantiality"
"insubstantially" "substantially"
"insufferable" "sufferable"
"insufficiency" "sufficiency"
"insufficient" "sufficient"
"insufficiently" "sufficiently"
"insuperable" "superable"
"insupportable" "supportable"
"insurmountable" "surmountable"
"insusceptible" "susceptible"
"intangibility" "tangibility"
"intangible" "tangible"
"intangibleness" "tangibleness"
"integument" "tegument"
"intemperance" "temperance"
"intemperate" "temperate"
"intemperately" "temperately"
"intemperateness" "temperateness"
"interminable" "terminable"
"intestate" "testate"
"intolerable" "tolerable"
"intolerably" "tolerably"
"intolerance" "tolerance"
"intolerant" "tolerant"
"intolerantly" "tolerantly"
"intractability" "tractability"
"intractable" "tractable"
"intractableness" "tractableness"
"intransitive" "transitive"
"intransitively" "transitively"
"intransitiveness" "transitiveness"
"intransitivity" "transitivity"
"intrepid" "trepid"
"intrepidly" "trepidly"
"intumescence" "tumescence"
"inutile" "utile"
"inutility" "utility"
"invalid" "valid"
"invalidation" "validation"
"invalidity" "validity"
"invalidness" "validness"
"invariability" "variability"
"invariable" "variable"
"invariableness" "variableness"
"invariably" "variably"
"invariance" "variance"
"invariant" "variant"
"invertebrate" "vertebrate"
"invincible" "vincible"
"inviolable" "violable"
"invisibility" "visibility"
"invisible" "visible"
"invisibleness" "visibleness"
"invisibly" "visibly"
"involuntarily" "voluntarily"
"involuntary" "voluntary"
"involute" "volute"
"invulnerability" "vulnerability"
"invulnerable" "vulnerable"
"irradiation" "radiation"
"irrational" "rational"
"irrationality" "rationality"
"irrationally" "rationally"
"irreclaimable" "reclaimable"
"irreconcilable" "reconcilable"
"irrecoverable" "recoverable"
"irredeemable" "redeemable"
"irreducible" "reducible"
"irreflexiveness" "reflexiveness"
"irreflexivity" "reflexivity"
"irrefutable" "refutable"
"irregardless" "regardless"
"irregular" "regular"
"irregularity" "regularity"
"irregularly" "regularly"
"irrelevance" "relevance"
"irrelevancy" "relevancy"
"irrelevant" "relevant"
"irrelevantly" "relevantly"
"irreligion" "religion"
"irreligionist" "religionist"
"irreligious" "religious"
"irreligiousness" "religiousness"
"irremediable" "remediable"
"irremovable" "removable"
"irreparable" "reparable"
"irreplaceable" "replaceable"
"irreproducibility" "reproducibility"
"irreproducible" "reproducible"
"irresistible" "resistible"
"irresolute" "resolute"
"irresolutely" "resolutely"
"irresoluteness" "resoluteness"
"irresolution" "resolution"
"irresponsibility" "responsibility"
"irresponsible" "responsible"
"irresponsibleness" "responsibleness"
"irresponsibly" "responsibly"
"irretrievable" "retrievable"
"irreverence" "reverence"
"irreverent" "reverent"
"irreverently" "reverently"
"irreversibility" "reversibility"
"irreversible" "reversible"
"irrevocable" "revocable"
"irrevokable" "revokable"
"non-Catholic" "Catholic"
"non-Hispanic" "Hispanic"
"non-Indian" "Indian"
"non-Japanese" "Japanese"
"non-Jew" "Jew"
"non-Jewish" "Jewish"
"non-Russian" "Russian"
"non-Swedish" "Swedish"
"non-alcoholic" "alcoholic"
"non-automotive" "automotive"
"non-binding" "binding"
"non-callable" "callable"
"non-communist" "communist"
"non-competitive" "competitive"
"non-controlling" "controlling"
"non-convertible" "convertible"
"non-daily" "daily"
"non-deductible" "deductible"
"non-dual" "dual"
"non-economical" "economical"
"non-edible" "edible"
"non-event" "event"
"non-exclusive" "exclusive"
"non-executive" "executive"
"non-financial" "financial"
"non-firm" "firm"
"non-horticultural" "horticultural"
"non-interstate" "interstate"
"non-invasive" "invasive"
"non-lethal" "lethal"
"non-mega" "mega"
"non-member" "member"
"non-objective" "objective"
"non-patent" "patent"
"non-pregnant" "pregnant"
"non-public" "public"
"non-regulated" "regulated"
"non-residential" "residential"
"non-resistant" "resistant"
"non-retail" "retail"
"non-sales" "sales"
"non-smoking" "smoking"
"non-strategic" "strategic"
"non-striking" "striking"
"non-toxic" "toxic"
"non-user" "user"
"non-violent" "violent"
"non-viral" "viral"
"non-virulent" "virulent"
"non-volatile" "volatile"
"non-warranty" "warranty"
"non-wealthy" "wealthy"
"non-working" "working"
"nonabsorbency" "absorbency"
"nonabsorbent" "absorbent"
"nonabsorptive" "absorptive"
"nonacceptance" "acceptance"
"nonaccomplishment" "accomplishment"
"nonachievement" "achievement"
"nonachiever" "achiever"
"nonadaptive" "adaptive"
"nonadhesive" "adhesive"
"nonadsorbent" "adsorbent"
"nonadsorptive" "adsorptive"
"nonaggression" "aggression"
"nonalcoholic" "alcoholic"
"nonalignment" "alignment"
"nonalinement" "alinement"
"nonappearance" "appearance"
"nonappointive" "appointive"
"nonarbitrable" "arbitrable"
"nonarbitrary" "arbitrary"
"nonarboreal" "arboreal"
"nonassociative" "associative"
"nonastringent" "astringent"
"nonattendance" "attendance"
"nonattender" "attender"
"nonautonomous" "autonomous"
"nonbeing" "being"
"nonbelligerent" "belligerent"
"nonbusiness" "business"
"noncallable" "callable"
"noncausal" "causal"
"noncausative" "causative"
"noncellular" "cellular"
"nonchlorine" "chlorine"
"nonclassical" "classical"
"noncollapsable" "collapsable"
"noncollapsible" "collapsible"
"noncombatant" "combatant"
"noncombinative" "combinative"
"noncombustible" "combustible"
"noncommercial" "commercial"
"noncommunicable" "communicable"
"noncompetitive" "competitive"
"noncompetitively" "competitively"
"noncompliance" "compliance"
"noncompliant" "compliant"
"noncomprehensive" "comprehensive"
"noncomprehensively" "comprehensively"
"nonconcentric" "concentric"
"nonconductive" "conductive"
"nonconductor" "conductor"
"nonconformance" "conformance"
"nonconformist" "conformist"
"nonconformity" "conformity"
"nonconscious" "conscious"
"nonconsecutive" "consecutive"
"noncontagious" "contagious"
"noncontentious" "contentious"
"noncontinuous" "continuous"
"noncontroversial" "controversial"
"nonconvergent" "convergent"
"nonconvertible" "convertible"
"noncriminal" "criminal"
"noncritical" "critical"
"noncrucial" "crucial"
"noncrystalline" "crystalline"
"noncumulative" "cumulative"
"noncurrent" "current"
"noncyclic" "cyclic"
"nondecisive" "decisive"
"nondeductible" "deductible"
"nondemocratic" "democratic"
"nondenominational" "denominational"
"nondigestible" "digestible"
"nondisposable" "disposable"
"nondriver" "driver"
"nonechoic" "echoic"
"noneffervescent" "effervescent"
"nonelective" "elective"
"nonentity" "entity"
"nonenzymatic" "enzymatic"
"nonequivalence" "equivalence"
"nonequivalent" "equivalent"
"nonessential" "essential"
"nonevent" "event"
"nonexecutive" "executive"
"nonexempt" "exempt"
"nonexistence" "existence"
"nonexistent" "existent"
"nonexplorative" "explorative"
"nonexploratory" "exploratory"
"nonexplosive" "explosive"
"nonextant" "extant"
"nonextensile" "extensile"
"nonfat" "fat"
"nonfatal" "fatal"
"nonferrous" "ferrous"
"nonfiction" "fiction"
"nonfigurative" "figurative"
"nonfinancial" "financial"
"nonfissile" "fissile"
"nonfissionable" "fissionable"
"nonflammable" "flammable"
"nonfunctional" "functional"
"nonglutinous" "glutinous"
"nongregarious" "gregarious"
"nonhereditary" "hereditary"
"nonheritable" "heritable"
"nonhierarchic" "hierarchic"
"nonhierarchical" "hierarchical"
"nonhuman" "human"
"nonimitative" "imitative"
"nonimmune" "immune"
"nonindulgence" "indulgence"
"nonindulgent" "indulgent"
"nonindustrial" "industrial"
"noninfectious" "infectious"
"noninflammatory" "inflammatory"
"noninheritable" "inheritable"
"noninstitutional" "institutional"
"nonintegrated" "integrated"
"nonintellectual" "intellectual"
"noninterchangeable" "interchangeable"
"noninterference" "interference"
"nonintervention" "intervention"
"nonintrusive" "intrusive"
"noninvasive" "invasive"
"nonjudgmental" "judgmental"
"nonkosher" "kosher"
"nonleaded" "leaded"
"nonlegal" "legal"
"nonlethal" "lethal"
"nonlexical" "lexical"
"nonlexically" "lexically"
"nonlinear" "linear"
"nonliterary" "literary"
"nonliterate" "literate"
"nonliving" "living"
"nonmalignant" "malignant"
"nonmandatory" "mandatory"
"nonmaterial" "material"
"nonmechanical" "mechanical"
"nonmechanistic" "mechanistic"
"nonmetal" "metal"
"nonmetallic" "metallic"
"nonmetamorphic" "metamorphic"
"nonmigratory" "migratory"
"nonmodern" "modern"
"nonmonotonic" "monotonic"
"nonmoral" "moral"
"nonmoving" "moving"
"nonnative" "native"
"nonnatural" "natural"
"nonnomadic" "nomadic"
"nonobjective" "objective"
"nonobligatory" "obligatory"
"nonobservance" "observance"
"nonobservant" "observant"
"nonoccurrence" "occurrence"
"nonoperating" "operating"
"nonoperational" "operational"
"nonoscillatory" "oscillatory"
"nonparallel" "parallel"
"nonparasitic" "parasitic"
"nonparticipation" "participation"
"nonparticulate" "particulate"
"nonpartisan" "partisan"
"nonpartisanship" "partisanship"
"nonpartizan" "partizan"
"nonpayment" "payment"
"nonperformance" "performance"
"nonperforming" "performing"
"nonperiodic" "periodic"
"nonpersonal" "personal"
"nonphilosophic" "philosophic"
"nonphilosophical" "philosophical"
"nonpoisonous" "poisonous"
"nonpolitical" "political"
"nonporous" "porous"
"nonpregnant" "pregnant"
"nonprehensile" "prehensile"
"nonpriority" "priority"
"nonproductive" "productive"
"nonprofessional" "professional"
"nonprognosticative" "prognosticative"
"nonprogressive" "progressive"
"nonproprietary" "proprietary"
"nonprotractile" "protractile"
"nonpsychoactive" "psychoactive"
"nonpublic" "public"
"nonracial" "racial"
"nonracist" "racist"
"nonrandom" "random"
"nonrational" "rational"
"nonreciprocal" "reciprocal"
"nonrecreational" "recreational"
"nonreflective" "reflective"
"nonregulated" "regulated"
"nonremittal" "remittal"
"nonrenewable" "renewable"
"nonrepresentational" "representational"
"nonrepresentative" "representative"
"nonresident" "resident"
"nonresidential" "residential"
"nonresilient" "resilient"
"nonresistant" "resistant"
"nonresonant" "resonant"
"nonrestrictive" "restrictive"
"nonreticulate" "reticulate"
"nonretractable" "retractable"
"nonretractile" "retractile"
"nonreturnable" "returnable"
"nonreversible" "reversible"
"nonrhythmic" "rhythmic"
"nonrigid" "rigid"
"nonsectarian" "sectarian"
"nonsegregated" "segregated"
"nonsense" "sense"
"nonsensitive" "sensitive"
"nonsexual" "sexual"
"nonslippery" "slippery"
"nonsmoker" "smoker"
"nonsocial" "social"
"nonsocialist" "socialist"
"nonsovereign" "sovereign"
"nonspecific" "specific"
"nonspecifically" "specifically"
"nonstandard" "standard"
"nonstarter" "starter"
"nonstop" "stop"
"nonstrategic" "strategic"
"nonsubjective" "subjective"
"nonsubmergible" "submergible"
"nonsubmersible" "submersible"
"nonsurgical" "surgical"
"nonsyllabic" "syllabic"
"nonsymbiotic" "symbiotic"
"nonsynchronous" "synchronous"
"nonsynthetic" "synthetic"
"nontaxable" "taxable"
"nontechnical" "technical"
"nontelescopic" "telescopic"
"nonterritorial" "territorial"
"nonthematic" "thematic"
"nontoxic" "toxic"
"nontraditional" "traditional"
"nontransferable" "transferable"
"nontransmissible" "transmissible"
"nonuniform" "uniform"
"nonuniformity" "uniformity"
"nonunionized" "unionized"
"nonverbal" "verbal"
"nonverbally" "verbally"
"nonviolence" "violence"
"nonviolent" "violent"
"nonviolently" "violently"
"nonvirulent" "virulent"
"nonviscid" "viscid"
"nonvocalic" "vocalic"
"nonvolatile" "volatile"
"nonvolatilizable" "volatilizable"
"nonwashable" "washable"
"nonwoody" "woody"
"nonworker" "worker"
"nonworking" "working"
"unabashed" "abashed"
"unable" "able"
"unabused" "abused"
"unacceptability" "acceptability"
"unacceptable" "acceptable"
"unacceptableness" "acceptableness"
"unacceptably" "acceptably"
"unaccepted" "accepted"
"unaccessible" "accessible"
"unaccountable" "accountable"
"unaccustomed" "accustomed"
"unachievable" "achievable"
"unacknowledged" "acknowledged"
"unacquisitive" "acquisitive"
"unactable" "actable"
"unadaptability" "adaptability"
"unadaptable" "adaptable"
"unadjusted" "adjusted"
"unadoptable" "adoptable"
"unadorned" "adorned"
"unadventurous" "adventurous"
"unadvisable" "advisable"
"unadvisedly" "advisedly"
"unaesthetic" "aesthetic"
"unaffected" "affected"
"unaffectedness" "affectedness"
"unaffectionate" "affectionate"
"unaffiliated" "affiliated"
"unaffordable" "affordable"
"unafraid" "afraid"
"unaggressive" "aggressive"
"unairworthy" "airworthy"
"unalarming" "alarming"
"unalert" "alert"
"unalienable" "alienable"
"unalterability" "alterability"
"unalterable" "alterable"
"unaltered" "altered"
"unambiguity" "ambiguity"
"unambiguous" "ambiguous"
"unambiguously" "ambiguously"
"unambitious" "ambitious"
"unambitiously" "ambitiously"
"unamenable" "amenable"
"unamusing" "amusing"
"unanalyzable" "analyzable"
"unanimated" "animated"
"unannounced" "announced"
"unanswerable" "answerable"
"unanticipated" "anticipated"
"unapologetic" "apologetic"
"unapparent" "apparent"
"unappealable" "appealable"
"unappealing" "appealing"
"unappealingly" "appealingly"
"unappeasable" "appeasable"
"unappetizing" "appetizing"
"unappetizingness" "appetizingness"
"unappreciative" "appreciative"
"unappreciatively" "appreciatively"
"unapproachability" "approachability"
"unapproachable" "approachable"
"unarguable" "arguable"
"unarguably" "arguably"
"unarmed" "armed"
"unarmored" "armored"
"unarticulate" "articulate"
"unartistic" "artistic"
"unascertainable" "ascertainable"
"unascribable" "ascribable"
"unashamed" "ashamed"
"unashamedly" "ashamedly"
"unasked" "asked"
"unassailable" "assailable"
"unassertive" "assertive"
"unassertively" "assertively"
"unassertiveness" "assertiveness"
"unassignable" "assignable"
"unassigned" "assigned"
"unattached" "attached"
"unattainable" "attainable"
"unattainableness" "attainableness"
"unattested" "attested"
"unattractive" "attractive"
"unattractively" "attractively"
"unattractiveness" "attractiveness"
"unattributable" "attributable"
"unaudited" "audited"
"unauthentic" "authentic"
"unauthorized" "authorized"
"unavailability" "availability"
"unavailable" "available"
"unavoidable" "avoidable"
"unaware" "aware"
"unawareness" "awareness"
"unawed" "awed"
"unbacked" "backed"
"unbalance" "balance"
"unbalanced" "balanced"
"unbattered" "battered"
"unbearable" "bearable"
"unbeatable" "beatable"
"unbeaten" "beaten"
"unbecomingly" "becomingly"
"unbecomingness" "becomingness"
"unbelief" "belief"
"unbelievable" "believable"
"unbelievably" "believably"
"unbeliever" "believer"
"unbelievingly" "believingly"
"unbeloved" "beloved"
"unbendable" "bendable"
"unbleached" "bleached"
"unblended" "blended"
"unbloody" "bloody"
"unboundedness" "boundedness"
"unbreakable" "breakable"
"unbreakableness" "breakableness"
"unbridgeable" "bridgeable"
"unbroken" "broken"
"uncalled" "called"
"uncannily" "cannily"
"uncanny" "canny"
"uncapped" "capped"
